Name	InChIKey	ChEBI ID	HMDB ID	KEGG ID	PubChem Compound ID	LMSD I
4-trimethylammoniobutanal	OITBLCDWXSXNCN-UHFFFAOYSA-N	18020	HMDB01345	C01149	133	
4-(trimethylammonio)butanoate	JHPNVNIEXXLNTR-UHFFFAOYSA-N	1941	HMDB01161	C01181		
5,6-dihydroxyindole-2-carboxylate	YFTGOBNOJKXZJC-UHFFFAOYSA-N	2003	HMDB01253	C04185		
5,6-dihydrothymine	NBAKTGXDIBVZOO-UHFFFAOYSA-N	27468	HMDB00079	C00906	93556	
5,6-dihydrouracil	OIVLITBTBDPEFK-UHFFFAOYSA-N	15901	HMDB00076	C00429	649	
5(S)-HPETE(1-)	JNUUNUQHXIOFDA-LJQANCHMSA-N	15632	HMDB01193	C05356	5280778	LMFA03060012
5-amino-2-oxopentanoic acid	BWHGMFYTDQEALD-UHFFFAOYSA-N	49268	HMDB06272	C01110		LMFA01060169
17beta-hydroxy-5alpha-androstan-3-one	NVKAWKQGWWIWPM-ABEVXSGRSA-N	16330	HMDB02961	C03917	10635	LMST02020042
5alpha-Dihydrotestosterone glucuronide	CLQMBSSRTBUNDV-CPKOJWPQSA-N		HMDB06203	C03033	44263365	LMST05010041
5alpha-Dihydrotestosterone sulfate	KYVPWJSGFKNNLD-ABEVXSGRSA-N		HMDB06278		18665256	
5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylate	XFVULMDJZXYMSG-ZIYNGMLESA-N	28413	HMDB06273	C04751	165388	
5-Amino-4-oxopentanoate	ZGXJTSGNIOSYLO-UHFFFAOYSA-N	17549	HMDB01149	C00430	137	LMFA01100055
pentaglutamyl folate (DHF)	IVSPPVMFGMVDLI-LSBAASHUSA-N		HMDB06487		73374	
(R)-5-Diphosphomevalonate	SIGQQUBJQXSAMW-ZCFIWIBFSA-N	15899	HMDB01090	C01143	439418	LMFA01050416
5,8,11,14,17-eicosapentenoylcoa						
5-Formiminotetrahydrofolate	YCWUVLPMLLBDCU-UHFFFAOYSA-N	57456	HMDB01534	C00664	530	
5-formyltetrahydrofolate(2-)	VVIAGPKUTFNRDU-STQMWFEESA-N	63606	HMDB01562	C03479	143	
5-guanidino-2-oxopentanoic acid	ARBHXJXXVVHMET-UHFFFAOYSA-N	28116	HMDB04225	C03771		
5 hydroxy omeprazole						
(5-hydroxyindol-3-yl)acetaldehyde	OBFAPCIUSYHFIE-UHFFFAOYSA-N	50157	HMDB04073	C05634		
5-Hydroxyindoleacetate	DUUGKQCEGZLZNO-UHFFFAOYSA-N	27823	HMDB00763	C05635		
5-hydroxy-N-formylkynurenine	LSTOUSIIVKMJBU-UHFFFAOYSA-N	2065	HMDB04086	C05648	440744	
5-hydroxy-L-tryptophan	LDCYZAJDBXYCGN-VIFPVBQESA-N	28171	HMDB00472	C01017	439280	
5-hydroxykynurenine	OTDQYOVYQQZAJL-UHFFFAOYSA-N	2076	HMDB12819	C05651	440745	
5-Hydroxykynurenamine	JANBBPTXDKFOQR-UHFFFAOYSA-N	28715	HMDB04076	C05638	164719	
5-Methylthio-5-deoxy-D-ribose 1-phosphate	JTFITTQBRJDSTL-WATOWXBHSA-N	27859	HMDB00963	C04188	53477720	
5-Methylthio-5-deoxy-D-ribulose 1-phosphate	CNSJRYUMVMWNMC-RITPCOANSA-N	28096	HMDB01299	C04582	174549	
5-Methoxyindoleacetate	COCNDHOPIHDTHK-UHFFFAOYSA-N	235589	HMDB04096	C05660	18986	
5-Methylthioadenosine	WUUGFSXJNOTRMR-IOSLPCCCSA-N	17509	HMDB01173	C00170	439176	
5-Methyltetrahydrofolate	ZNOVTXRBGFNYRX-STQMWFEESA-N	15641	HMDB01396	C00440	439234	
5-oxoprolinate	ODHCTXKNWHHXJC-UHFFFAOYSA-N	18183	HMDB00267	C01879	7405	
(R)-5-phosphonatomevalonate(3-)	OKZYCXHTTZZYSK-ZCFIWIBFSA-N	17436	HMDB01343	C01107	439400	LMFA01050415
5,8,11-tetradecatrienoylcoa						
pentaglutamyl folate (THF)						
6-amino-2-oxohexanoic acid	GWENQMVPLJAMAE-UHFFFAOYSA-N	17534	HMDB12151	C03239	439954	
hexaglutamyl folate (DHF)	FWAQAOUHULVCBP-HCVVFSGQSA-N		HMDB06563		169691	
6-Hydroxymelatonin	OMYMRCXOJJZYKE-UHFFFAOYSA-N	308079	HMDB04081	C05643	1864	
6 beta hydroxy testosterone	XSEGWEUVSZRCBC-ZVBLRVHNSA-N	34477	HMDB06259	C14497	65543	LMST02020054
6-Phospho-D-gluconate	BIRSGZKFKXLSJQ-SQOUGZDYSA-N	48928	HMDB01316	C00345	91493	
6-phospho-D-glucono-1,5-lactone	IJOJIVNDFQSGAB-SQOUGZDYSA-N	16938	HMDB01127	C01236	439452	
6-pyruvoyl-5,6,7,8-tetrahydropterin	WBJZXBUVECZHCE-UHFFFAOYSA-N	17804	HMDB01195	C03684	128973	
hexaglutamyl folate  (THF)	FWAQAOUHULVCBP-XPZKFFRXSA-N		HMDB06563		169691	
cholesta-5,7-dien-3beta-ol	UCTLRSWJYQTBFZ-DDPQNLDTSA-N	17759	HMDB00032	C01164		LMST01010069
heptaglutamyl folate (DHF)						
heptaglutamyl folate (THF)						
fatty acid 9-cis-retinol						
acyl carrier protein		18359				
protein-linked asparagine residue (N-glycosylation site)						
monodehydroascorbate(1-)	LHFJOBMTAJJOTB-DOAHDZERSA-N	59513			439374	
Phosphatidyl-N-methylethanolamine		15958				
1-alkyl-2-acetyl-sn-glycerol 3-phosphate(2-)		58191				
beta-D-Galactosyl-1,4-beta-D-glucosylceramide		17950				
L-Iditol	FBPFZTCFMRRESA-UNTFVMJOSA-N	18202	HMDB11632	C01507	5460044	
nonanoate	FBUKVWPVBMHYJY-UHFFFAOYSA-N	29019	HMDB00847	C01601	8158	LMFA01010009
